action_type,combined_shot_type,game_event_id,game_id,lat,loc_x,loc_y,lon,minutes_remaining,period,playoffs,season,seconds_remaining,shot_distance,shot_made_flag,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range,team_id,team_name,game_date,matchup,opponent,shot_id
Driving Layup Shot,Layup,402,20000373,34.0443,0,0,-118.2698,6,4,0,Jan-00,16,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-12-21,LAL @ HOU,HOU,651
Jump Shot,Jump Shot,458,20000373,33.9813,106,63,-118.1638,1,4,0,Jan-00,35,12,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2000-12-21,LAL @ HOU,HOU,652
Jump Shot,Jump Shot,469,20000373,33.8373,49,207,-118.2208,0,4,0,Jan-00,27,21,1,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-12-21,LAL @ HOU,HOU,653
Dunk Shot,Dunk,472,20000373,34.0443,0,0,-118.2698,0,4,0,Jan-00,11,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-12-21,LAL @ HOU,HOU,654
Jump Shot,Jump Shot,2,20000379,33.9453,-136,99,-118.4058,11,1,0,Jan-00,39,16,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-12-22,LAL @ DAL,DAL,655
Layup Shot,Layup,6,20000379,34.0443,0,0,-118.2698,11,1,0,Jan-00,6,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-12-22,LAL @ DAL,DAL,656
Jump Shot,Jump Shot,10,20000379,33.9073,3,137,-118.2668,10,1,0,Jan-00,47,13,,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2000-12-22,LAL @ DAL,DAL,657
Jump Shot,Jump Shot,37,20000379,33.9283,140,116,-118.1298,7,1,0,Jan-00,27,18,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-12-22,LAL @ DAL,DAL,658
Jump Shot,Jump Shot,59,20000379,34.0293,-166,15,-118.4358,4,1,0,Jan-00,36,16,1,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-12-22,LAL @ DAL,DAL,659
Tip Shot,Tip Shot,105,20000379,34.0443,0,0,-118.2698,0,1,0,Jan-00,45,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-12-22,LAL @ DAL,DAL,660
Slam Dunk Shot,Dunk,116,20000379,34.0443,0,0,-118.2698,0,1,0,Jan-00,10,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-12-22,LAL @ DAL,DAL,661
Layup Shot,Layup,151,20000379,34.0443,0,0,-118.2698,9,2,0,Jan-00,10,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-12-22,LAL @ DAL,DAL,662
Jump Shot,Jump Shot,154,20000379,34.0353,226,9,-118.0438,8,2,0,Jan-00,50,22,1,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,1610612747,Los Angeles Lakers,2000-12-22,LAL @ DAL,DAL,663
Jump Shot,Jump Shot,211,20000379,33.8943,-115,150,-118.3848,3,2,0,Jan-00,18,18,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-12-22,LAL @ DAL,DAL,664
Jump Shot,Jump Shot,218,20000379,33.9893,146,55,-118.1238,2,2,0,Jan-00,54,15,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2000-12-22,LAL @ DAL,DAL,665
Jump Shot,Jump Shot,232,20000379,33.8223,-65,222,-118.3348,1,2,0,Jan-00,43,23,1,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-12-22,LAL @ DAL,DAL,666
Jump Shot,Jump Shot,235,20000379,33.8843,-1,160,-118.2708,1,2,0,Jan-00,17,16,0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-12-22,LAL @ DAL,DAL,667
Jump Shot,Jump Shot,254,20000379,33.9683,-130,76,-118.3998,11,3,0,Jan-00,18,15,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2000-12-22,LAL @ DAL,DAL,668
Jump Shot,Jump Shot,275,20000379,33.9513,167,93,-118.1028,9,3,0,Jan-00,1,19,,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-12-22,LAL @ DAL,DAL,669
Alley Oop Dunk Shot,Dunk,296,20000379,34.0443,0,0,-118.2698,5,3,0,Jan-00,51,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-12-22,LAL @ DAL,DAL,670
Jump Shot,Jump Shot,372,20000379,33.8673,-130,177,-118.3998,10,4,0,Jan-00,42,21,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-12-22,LAL @ DAL,DAL,671
Jump Shot,Jump Shot,416,20000379,34.0443,-151,0,-118.4208,4,4,0,Jan-00,57,15,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2000-12-22,LAL @ DAL,DAL,672
Jump Shot,Jump Shot,439,20000379,34.0573,176,-13,-118.0938,2,4,0,Jan-00,56,17,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-12-22,LAL @ DAL,DAL,673
Jump Shot,Jump Shot,463,20000379,33.9783,-187,66,-118.4568,1,4,0,Jan-00,11,19,1,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-12-22,LAL @ DAL,DAL,674
Turnaround Jump Shot,Jump Shot,6,20000397,34.0273,81,17,-118.1888,10,1,0,Jan-00,42,8,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2000-12-25,LAL vs. POR,POR,675
Jump Shot,Jump Shot,18,20000397,33.8793,81,165,-118.1888,8,1,0,Jan-00,50,18,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-12-25,LAL vs. POR,POR,676
Jump Shot,Jump Shot,77,20000397,33.8733,117,171,-118.1528,2,1,0,Jan-00,49,20,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-12-25,LAL vs. POR,POR,677
Jump Shot,Jump Shot,88,20000397,33.8463,-157,198,-118.4268,1,1,0,Jan-00,37,25,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2000-12-25,LAL vs. POR,POR,678
Jump Shot,Jump Shot,109,20000397,33.9343,45,110,-118.2248,0,1,0,Jan-00,25,11,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2000-12-25,LAL vs. POR,POR,679
Driving Layup Shot,Layup,112,20000397,34.0443,0,0,-118.2698,0,1,0,Jan-00,10,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-12-25,LAL vs. POR,POR,680
Jump Shot,Jump Shot,119,20000397,33.8903,144,154,-118.1258,11,2,0,Jan-00,14,21,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-12-25,LAL vs. POR,POR,681
Running Jump Shot,Jump Shot,232,20000397,33.9933,45,51,-118.2248,0,2,0,Jan-00,5,6,1,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-12-25,LAL vs. POR,POR,682
Jump Shot,Jump Shot,252,20000397,34.0633,-136,-19,-118.4058,10,3,0,Jan-00,7,13,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2000-12-25,LAL vs. POR,POR,683
Turnaround Jump Shot,Jump Shot,258,20000397,33.9073,5,137,-118.2648,9,3,0,Jan-00,39,13,1,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2000-12-25,LAL vs. POR,POR,684
Jump Shot,Jump Shot,263,20000397,33.8843,94,160,-118.1758,8,3,0,Jan-00,50,18,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-12-25,LAL vs. POR,POR,685
Running Jump Shot,Jump Shot,286,20000397,33.9243,45,120,-118.2248,6,3,0,Jan-00,23,12,1,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2000-12-25,LAL vs. POR,POR,686
Jump Shot,Jump Shot,288,20000397,33.8183,-157,226,-118.4268,5,3,0,Jan-00,47,27,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2000-12-25,LAL vs. POR,POR,687
Jump Shot,Jump Shot,306,20000397,33.8903,123,154,-118.1468,4,3,0,Jan-00,37,19,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-12-25,LAL vs. POR,POR,688
Jump Shot,Jump Shot,339,20000397,33.8253,144,219,-118.1258,1,3,0,Jan-00,16,26,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2000-12-25,LAL vs. POR,POR,689
Jump Shot,Jump Shot,362,20000397,33.8123,144,232,-118.1258,0,3,0,Jan-00,0,27,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2000-12-25,LAL vs. POR,POR,690
Jump Shot,Jump Shot,372,20000397,33.8843,117,160,-118.1528,10,4,0,Jan-00,41,19,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-12-25,LAL vs. POR,POR,691
Jump Shot,Jump Shot,447,20000397,34.0043,39,40,-118.2308,3,4,0,Jan-00,26,5,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-12-25,LAL vs. POR,POR,692
Turnaround Jump Shot,Jump Shot,474,20000397,33.9893,-44,55,-118.3138,1,4,0,Jan-00,49,7,,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-12-25,LAL vs. POR,POR,693
Jump Shot,Jump Shot,476,20000397,33.9453,-71,99,-118.3408,1,4,0,Jan-00,22,12,,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2000-12-25,LAL vs. POR,POR,694
Jump Shot,Jump Shot,12,20000420,33.8293,-84,215,-118.3538,10,1,0,Jan-00,28,23,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-12-28,LAL @ PHX,PHX,695
Turnaround Jump Shot,Jump Shot,16,20000420,34.0233,-105,21,-118.3748,9,1,0,Jan-00,57,10,1,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2000-12-28,LAL @ PHX,PHX,696
Jump Shot,Jump Shot,22,20000420,34.0443,100,0,-118.1698,8,1,0,Jan-00,38,10,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2000-12-28,LAL @ PHX,PHX,697
Jump Shot,Jump Shot,45,20000420,34.0403,138,4,-118.1318,5,1,0,Jan-00,1,13,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2000-12-28,LAL @ PHX,PHX,698
Jump Shot,Jump Shot,49,20000420,33.8753,-27,169,-118.2968,4,1,0,Jan-00,30,17,,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-12-28,LAL @ PHX,PHX,699
Jump Shot,Jump Shot,92,20000420,34.0233,94,21,-118.1758,0,1,0,Jan-00,54,9,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2000-12-28,LAL @ PHX,PHX,700
Jump Shot,Jump Shot,114,20000420,33.8523,159,192,-118.1108,10,2,0,Jan-00,20,24,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2000-12-28,LAL @ PHX,PHX,701
Reverse Layup Shot,Layup,175,20000420,34.0443,0,0,-118.2698,4,2,0,Jan-00,2,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-12-28,LAL @ PHX,PHX,702
Turnaround Jump Shot,Jump Shot,196,20000420,34.0163,-141,28,-118.4108,2,2,0,Jan-00,46,14,1,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2000-12-28,LAL @ PHX,PHX,703
Jump Shot,Jump Shot,198,20000420,33.9763,167,68,-118.1028,2,2,0,Jan-00,26,18,1,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-12-28,LAL @ PHX,PHX,704
Jump Shot,Jump Shot,218,20000420,33.8693,1,175,-118.2688,0,2,0,Jan-00,45,17,0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-12-28,LAL @ PHX,PHX,705
Jump Shot,Jump Shot,225,20000420,33.8013,1,243,-118.2688,0,2,0,Jan-00,30,24,1,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2000-12-28,LAL @ PHX,PHX,706
Jump Shot,Jump Shot,232,20000420,33.9473,-4,97,-118.2738,11,3,0,Jan-00,47,9,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2000-12-28,LAL @ PHX,PHX,707
Turnaround Jump Shot,Jump Shot,238,20000420,33.9723,123,72,-118.1468,11,3,0,Jan-00,0,14,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2000-12-28,LAL @ PHX,PHX,708
Jump Shot,Jump Shot,257,20000420,33.8393,-141,205,-118.4108,8,3,0,Jan-00,21,24,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2000-12-28,LAL @ PHX,PHX,709
Driving Layup Shot,Layup,269,20000420,34.0443,0,0,-118.2698,7,3,0,Jan-00,13,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-12-28,LAL @ PHX,PHX,710
Jump Shot,Jump Shot,284,20000420,33.9473,167,97,-118.1028,6,3,0,Jan-00,7,19,,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-12-28,LAL @ PHX,PHX,711
Turnaround Jump Shot,Jump Shot,329,20000420,34.0483,195,-4,-118.0748,2,3,0,Jan-00,54,19,1,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-12-28,LAL @ PHX,PHX,712
Jump Shot,Jump Shot,354,20000420,34.0443,159,0,-118.1108,0,3,0,Jan-00,35,15,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2000-12-28,LAL @ PHX,PHX,713
Jump Shot,Jump Shot,27,20000434,34.0233,201,21,-118.0688,9,1,0,Jan-00,8,20,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-12-30,LAL @ LAC,LAC,714
Jump Shot,Jump Shot,29,20000434,33.9993,174,45,-118.0958,8,1,0,Jan-00,50,17,1,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-12-30,LAL @ LAC,LAC,715
Jump Shot,Jump Shot,37,20000434,33.8223,-141,222,-118.4108,7,1,0,Jan-00,29,26,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2000-12-30,LAL @ LAC,LAC,716
Jump Shot,Jump Shot,39,20000434,33.8843,195,160,-118.0748,6,1,0,Jan-00,44,25,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2000-12-30,LAL @ LAC,LAC,717
Jump Shot,Jump Shot,45,20000434,33.9833,144,61,-118.1258,5,1,0,Jan-00,53,15,,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2000-12-30,LAL @ LAC,LAC,718
Alley Oop Dunk Shot,Dunk,74,20000434,34.0443,0,0,-118.2698,2,1,0,Jan-00,51,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-12-30,LAL @ LAC,LAC,719
Jump Shot,Jump Shot,80,20000434,33.9993,-162,45,-118.4318,1,1,0,Jan-00,53,16,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-12-30,LAL @ LAC,LAC,720
Running Jump Shot,Jump Shot,88,20000434,33.9893,-12,55,-118.2818,0,1,0,Jan-00,40,5,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-12-30,LAL @ LAC,LAC,721
Jump Shot,Jump Shot,109,20000434,34.0443,153,0,-118.1168,10,2,0,Jan-00,30,15,,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2000-12-30,LAL @ LAC,LAC,722
Jump Shot,Jump Shot,126,20000434,33.8563,-191,188,-118.4608,8,2,0,Jan-00,55,26,,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2000-12-30,LAL @ LAC,LAC,723
Jump Shot,Jump Shot,153,20000434,33.7893,1,255,-118.2688,6,2,0,Jan-00,20,25,1,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2000-12-30,LAL @ LAC,LAC,724
Turnaround Jump Shot,Jump Shot,156,20000434,33.9623,16,82,-118.2538,5,2,0,Jan-00,33,8,,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2000-12-30,LAL @ LAC,LAC,725
Reverse Layup Shot,Layup,174,20000434,34.0443,0,0,-118.2698,3,2,0,Jan-00,56,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-12-30,LAL @ LAC,LAC,726
Jump Shot,Jump Shot,188,20000434,33.9953,64,49,-118.2058,2,2,0,Jan-00,1,8,1,2PT Field Goal,Right Side(R),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2000-12-30,LAL @ LAC,LAC,727
Jump Shot,Jump Shot,197,20000434,33.8393,-141,205,-118.4108,0,2,0,Jan-00,27,24,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2000-12-30,LAL @ LAC,LAC,728
Jump Shot,Jump Shot,236,20000434,33.8063,-71,238,-118.3408,8,3,0,Jan-00,38,24,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2000-12-30,LAL @ LAC,LAC,729
Jump Shot,Jump Shot,270,20000434,33.8163,-141,228,-118.4108,3,3,0,Jan-00,54,26,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2000-12-30,LAL @ LAC,LAC,730
Jump Shot,Jump Shot,298,20000434,34.0293,129,15,-118.1408,1,3,0,Jan-00,53,12,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2000-12-30,LAL @ LAC,LAC,731
Jump Shot,Jump Shot,19,20000456,33.8083,-50,236,-118.3198,9,1,0,Jan-00,34,24,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2001-01-03,LAL vs. UTA,UTA,732
Jump Shot,Jump Shot,34,20000456,34.0633,-130,-19,-118.3998,8,1,0,Jan-00,12,13,1,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2001-01-03,LAL vs. UTA,UTA,733
Jump Shot,Jump Shot,41,20000456,33.9833,153,61,-118.1168,7,1,0,Jan-00,5,16,,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-01-03,LAL vs. UTA,UTA,734
Layup Shot,Layup,53,20000456,34.0443,0,0,-118.2698,6,1,0,Jan-00,1,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-01-03,LAL vs. UTA,UTA,735
Jump Shot,Jump Shot,89,20000456,34.0733,-143,-29,-118.4128,1,1,0,Jan-00,38,14,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2001-01-03,LAL vs. UTA,UTA,736
Running Jump Shot,Jump Shot,95,20000456,34.0043,-44,40,-118.3138,0,1,0,Jan-00,53,5,,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-01-03,LAL vs. UTA,UTA,737
Jump Shot,Jump Shot,99,20000456,33.8353,-143,209,-118.4128,0,1,0,Jan-00,18,25,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2001-01-03,LAL vs. UTA,UTA,738
Jump Shot,Jump Shot,113,20000456,34.0423,144,2,-118.1258,10,2,0,Jan-00,39,14,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2001-01-03,LAL vs. UTA,UTA,739
Jump Shot,Jump Shot,149,20000456,33.9493,153,95,-118.1168,7,2,0,Jan-00,25,18,1,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-01-03,LAL vs. UTA,UTA,740
Jump Shot,Jump Shot,168,20000456,33.9453,-107,99,-118.3768,4,2,0,Jan-00,56,14,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2001-01-03,LAL vs. UTA,UTA,741
Turnaround Jump Shot,Jump Shot,176,20000456,33.9623,94,82,-118.1758,3,2,0,Jan-00,46,12,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2001-01-03,LAL vs. UTA,UTA,742
Slam Dunk Shot,Dunk,179,20000456,34.0443,0,0,-118.2698,3,2,0,Jan-00,4,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-01-03,LAL vs. UTA,UTA,743
Jump Shot,Jump Shot,189,20000456,33.9283,159,116,-118.1108,2,2,0,Jan-00,10,19,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-01-03,LAL vs. UTA,UTA,744
Reverse Dunk Shot,Dunk,194,20000456,34.0443,0,0,-118.2698,1,2,0,Jan-00,53,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-01-03,LAL vs. UTA,UTA,745
Jump Shot,Jump Shot,235,20000456,34.0273,159,17,-118.1108,9,3,0,Jan-00,46,15,,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2001-01-03,LAL vs. UTA,UTA,746
Turnaround Jump Shot,Jump Shot,269,20000456,33.9453,159,99,-118.1108,5,3,0,Jan-00,27,18,,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-01-03,LAL vs. UTA,UTA,747
Driving Dunk Shot,Dunk,309,20000456,34.0443,0,0,-118.2698,0,3,0,Jan-00,42,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-01-03,LAL vs. UTA,UTA,748
Jump Shot,Jump Shot,316,20000456,33.7533,-16,291,-118.2858,0,3,0,Jan-00,0,29,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2001-01-03,LAL vs. UTA,UTA,749
Jump Shot,Jump Shot,366,20000456,33.8083,110,236,-118.1598,8,4,0,Jan-00,31,26,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2001-01-03,LAL vs. UTA,UTA,750
Jump Shot,Jump Shot,412,20000456,33.9343,153,110,-118.1168,4,4,0,Jan-00,42,18,1,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-01-03,LAL vs. UTA,UTA,751
Alley Oop Dunk Shot,Dunk,424,20000456,34.0443,0,0,-118.2698,3,4,0,Jan-00,50,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-01-03,LAL vs. UTA,UTA,752
Jump Shot,Jump Shot,430,20000456,33.8013,102,243,-118.1678,2,4,0,Jan-00,43,26,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2001-01-03,LAL vs. UTA,UTA,753
Jump Shot,Jump Shot,443,20000456,34.0313,-227,13,-118.4968,1,4,0,Jan-00,2,22,1,3PT Field Goal,Left Side(L),Left Corner 3,24+ ft.,1610612747,Los Angeles Lakers,2001-01-03,LAL vs. UTA,UTA,754
Jump Shot,Jump Shot,454,20000456,33.8353,45,209,-118.2248,0,4,0,Jan-00,26,21,0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-01-03,LAL vs. UTA,UTA,755
Jump Shot,Jump Shot,11,20000484,33.8463,-143,198,-118.4128,10,1,0,Jan-00,9,24,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2001-01-07,LAL vs. LAC,LAC,756
Driving Layup Shot,Layup,33,20000484,34.0443,0,0,-118.2698,8,1,0,Jan-00,7,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-01-07,LAL vs. LAC,LAC,757
Jump Shot,Jump Shot,37,20000484,34.0103,-176,34,-118.4458,7,1,0,Jan-00,33,17,1,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-01-07,LAL vs. LAC,LAC,758
Running Jump Shot,Jump Shot,46,20000484,33.9113,54,133,-118.2158,6,1,0,Jan-00,9,14,1,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2001-01-07,LAL vs. LAC,LAC,759
Jump Shot,Jump Shot,56,20000484,33.9283,102,116,-118.1678,5,1,0,Jan-00,4,15,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2001-01-07,LAL vs. LAC,LAC,760
Layup Shot,Layup,58,20000484,34.0443,0,0,-118.2698,4,1,0,Jan-00,50,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-01-07,LAL vs. LAC,LAC,761
